name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
gabrielmagno/nano-dlna,0,0,0,125,44,30,125,44,30,541,0.6218,83,0.09539999999999998,29,0.0333,217,0.2494,86,4,44,10,653,5.42,74,144,5
amitesh863/nbeats_forecast,0,0,0,71,50,12,71,50,12,219,0.7739,16,0.0565,2,0.0070999999999999995,46,0.1625,99,6,26,4,237,1.42,46,80,0
raphiz/nele,0,0,0,36,5,4,36,5,4,126,0.6667000000000001,19,0.1005,6,0.0317,38,0.2011,14,5,2,5,151,5.49,17,33,0
mir-group/nequip,107,444,111,2412,1307,543,2305,863,432,10184,0.6592,2057,0.1331,966,0.0625,2243,0.1452,1101,270,524,333,13207,4.61,2291,3309,219
jacobsvante/netsuite,19,98,116,272,368,193,253,270,77,1553,0.7247,158,0.0737,17,0.0079,415,0.1937,251,31,28,11,1728,6.43,239,221,14
tensorflow/neural-structured-learning,0,243,36,5941,3332,1207,5941,3089,1171,18520,0.5708,7049,0.2173,3381,0.1042,3493,0.10769999999999999,1771,545,11099,294,28950,0.0,2588,3492,37
shijie-wu/neural-transducer,16,9,5,1469,748,272,1453,739,267,4056,0.7965000000000001,226,0.0444,125,0.0245,685,0.13449999999999998,446,136,59,30,4407,7.61,968,1423,5
sfalkman/ngenic-hass-platform,0,0,0,103,73,51,103,73,51,502,0.6411,105,0.1341,36,0.046,140,0.1788,85,4,20,25,643,2.76,85,132,2
NervanaSystems/ngraph-python,0,0,0,15065,9716,3896,15065,9716,3896,47756,0.5943,14145,0.17600000000000002,7266,0.0904,11189,0.1392,7001,1842,1723,881,69167,5.08,8949,11277,892
bundesAPI/nina-api,0,35,1,1000,575,271,1000,540,270,4823,0.4901,3589,0.36469999999999997,396,0.04019999999999999,1033,0.105,349,155,265,72,8808,5.9,975,1437,2
richardfan1126/nitro-enclave-python-demo,0,0,0,103,21,17,103,21,17,285,0.508,35,0.062400000000000004,106,0.1889,135,0.24059999999999998,55,5,10,24,426,2.18,38,69,3
ni/nixnet-python,0,0,0,3191,2553,1619,3191,2553,1619,13821,0.5688,5102,0.21,2080,0.08560000000000001,3296,0.1356,1441,248,84,31,21003,7.64,1724,774,185
prometheus-community/node-exporter-textfile-collector-scripts,0,0,0,202,67,55,202,67,55,763,0.5557,282,0.2054,77,0.056100000000000004,251,0.18280000000000002,116,11,13,1,1122,7.76,160,395,13
behnambm/nordvpn-checker,0,6,4,27,9,6,27,3,2,135,0.7181000000000001,7,0.037200000000000004,12,0.0638,34,0.1809,9,3,9,0,154,8.06,28,74,4
VincentStimper/normalizing-flows,0,0,0,1444,1072,376,1444,1072,376,4216,0.664,1129,0.1778,109,0.0172,895,0.141,658,138,113,90,5454,5.79,821,935,43
hoffa/notation,0,0,0,38,59,28,38,59,28,206,0.7079000000000001,14,0.0481,3,0.0103,68,0.23370000000000002,56,1,0,4,223,5.62,51,85,0
jumping2000/notifier,0,31,6,315,137,53,315,106,47,867,0.6437,281,0.2086,91,0.0676,108,0.0802,210,20,137,26,1239,3.54,299,706,8
notify-run/notify.run,0,0,0,40,39,23,40,39,23,231,0.7476,8,0.0259,10,0.032400000000000005,60,0.1942,45,2,7,2,249,6.52,49,63,18
cjolowicz/nox-poetry,13,143,124,166,172,124,153,29,0,920,0.5428000000000001,376,0.2218,19,0.011200000000000002,380,0.2242,11,6,62,19,1315,7.43,156,167,21
newsdev/nyt-fec,0,0,0,1888,276,199,1888,276,199,7386,0.8489,385,0.044199999999999996,91,0.0105,839,0.0964,1704,276,254,175,7862,0.0,796,1583,30
torproject/nyx,0,0,0,1792,994,595,1792,994,595,6971,0.5942000000000001,1899,0.16190000000000002,297,0.0253,2564,0.2186,920,160,5561,237,9167,0.0,1518,2942,434
