name,annotated ≥ 20,annotated_ratio,py_code_loc,pylint_convention_msg_norm,pylint_refactor_msg_norm,pylint_warning_msg_norm,pylint_error_msg_norm,cyclomatic_complexity_norm,cognitive_complexity_norm,bug_score_norm
openseg-group/openseg.pytorch,FALSE,0.0004424,18342,0.237378694,0.057354705,0.040399084,0.030694581,0.214753026,0.324555665,0.000490677
RJT1990/mantra,FALSE,0.000439754,3754,0.368407032,0.041022909,0.066062866,0.023708045,0.299413958,0.34389984,0.002397443
pypr/compyle,FALSE,0.000276817,12760,0.201880878,0.035501567,0.044905956,0.019514107,0.170532915,0.20830721,0.007053292
erudnick-cohen/Pokemon-Crystal-Item-Randomizer,FALSE,0.000266312,6715,0.380193596,0.067163068,0.670290395,0.005956813,0.244973939,0.740580789,0.020848846
erudnick-cohen/Pokemon-Crystal-Item-Randomizer,FALSE,0.000266312,6715,0.380193596,0.067163068,0.670290395,0.005956813,0.244973939,0.740580789,0.020848846
CyrusKashef/BK_Randomizer,FALSE,0.000229885,12564,0.269500159,0.015600127,0.119627507,0.002069405,0.176297358,0.348455906,0.001353072
qzhu2017/PyXtal,FALSE,0.000204394,16557,0.211874132,0.043063357,0.046747599,0.013166636,0.274385456,0.655734735,0.013831008
Netflix/lemur,FALSE,0.000178412,22121,0.108358573,0.021653632,0.042448352,0.023597487,0.180100357,0.276750599,0.022557751
jbwang1997/OBBDetection,FALSE,9.32184E-05,48356,0.070684093,0.065865663,0.020038878,0.015365208,0.158015551,0.203821656,0.000248159
FEniCS/ufl,FALSE,7.14592E-05,20736,0.351900077,0.02961034,0.111352238,0.032021605,0.265625,0.276957948,0.030623071
glpi-project/docdev,FALSE,0,43,0.372093023,0,0.279069767,0.023255814,0.023255814,0,0.325581395
pgRouting/website,FALSE,0,31,0.612903226,0,0.225806452,0,0.032258065,0,2.032258065
SublimeLinter/SublimeLinter-phpcs,FALSE,0,8,0.375,0.125,0,0.125,0.125,0,0.5
SublimeLinter/SublimeLinter-phpcs,FALSE,0,8,0.375,0.125,0,0.125,0.125,0,0.5
theonewolf/TermRecord,FALSE,0,24,0.083333333,0,0,0,0.083333333,0,0.666666667
jarun/ddgr,FALSE,0,31,0.064516129,0,0,0,0.064516129,0.032258065,0.35483871
mhsabbagh/green-recorder,FALSE,0,25,0.28,0,0.2,0,0.08,0.04,0.72
WeBankBlockchain/WeBASE-Doc,FALSE,0,123,0.325203252,0.032520325,0.130081301,0.032520325,0.016260163,0,1.658536585
pcdshub/lcls-twincat-motion,FALSE,0,26,0.038461538,0,0.038461538,0.115384615,0.076923077,0.038461538,1.461538462
WeBankBlockchain/WeBASE-Doc,FALSE,0,123,0.325203252,0.032520325,0.130081301,0.032520325,0.016260163,0,1.658536585
Spooky-Manufacturing/8Q,FALSE,0,92,0.195652174,0,0.152173913,0.086956522,0.032608696,0,0.02173913
italia/spid-regole-tecniche,FALSE,0,65,0.446153846,0,0.030769231,0.030769231,0.046153846,0.046153846,0.2
publiccodeyml/publiccode.yml,FALSE,0,11,0.909090909,0,0,0,0.363636364,0,5.454545455
